30,Nº 01,PLOMO,Nº 01,CATECISMO DE LA INFANCIA ,CH. ABATE MALINJOUD,2131,EDITOR EUGENIO SUBIRANA,332,BUENO
31,Nº 01,PLOMO,Nº 01,EL ORIGEN DE LA VIDA,A.I. OPARIN,NO,EDICIONES POPULARES LOS ANDES,154,BUENO
32,Nº 01,PLOMO,Nº 01,NUEVO TESTAMENTO DE LA SAGRADA BIBLIA,P. JOSÉ TREPAT TREPAT O.F.M,1258,RAMÓN SOPENA S.A.,524,BUENO
33,Nº 01,PLOMO,Nº 01,JESUCRISTO EL ESPOSO DIVINO 3 ,NIHIL OBSTAT,4939,EDITORIAL IBERICA,432,BUENO
34,Nº 01,PLOMO,Nº 01,ANHELOS DE TU ESCENCIA,MARCELA IPARRAGUIRRE,5217,OFFSET PEREZ (CHEPEN),42,BUENO
35,Nº 01,PLOMO,Nº 01,CATECISMO DE LA DOCTRINA CRISTIANA,MONSEÑOR ENRIQUE PELACH - ANTONIO KIILMER,2700,EDITORIAL ANDINA S.A.,287,BUENO
36,Nº 01,PLOMO,Nº 01,ESCOLAR CATECISMO DE LA IGLESIA CATÓLICA,R.P.DR. JOSÉ ANTONIO BOHUYTÓN SOLANO,1970,EDITORIAL GRAFICART SRL,192,BUENO
37,Nº 01,PLOMO,Nº 01,PARA VIVIR EL JUBILEO,"TOMAS BURNS, PILAR COEL, PABLO RICHARD",0711 - F,ESPINAL E.I.R.L.,55,BUENO
38,Nº 01,PLOMO,Nº 01,LA HORA SANTA Y LAS SIETE PALABRAS,KARL RAHNER,6345 - F,TALLER SAN PABLO,31,BUENO
39,Nº 01,PLOMO,Nº 01,MISA PARTICIPADA,CONSTANCIO B. DE HEREDIA FELIX OZ. DE URTARAN,NO,EDITORIAL ESET SEMINARIO DIOCESANO,83,BUENO
40,Nº 01,PLOMO,Nº 01,LOS MANDAMIENTOS,ANTONIO ROYO MARIN O.P.,6192,GRAFICAS GUARDA S.A.,61,BUENO
41,Nº 01,PLOMO,Nº 01,JUAN PABLO II CARTA DEL SANTO PADRE,NO,0456 -,EDITORIAL SALESIANA,24,BUENO
42,Nº 01,PLOMO,Nº 01,NUEVO TESTAMNTO,DR. EVARISTO MARTIN NIETO,3213,NO TIENE,625,BUENO
43,Nº 01,PLOMO,Nº 01,EL VERBO DIVINO CONVERTIDO EN SER HUMANO 2,NO TIENE ,NO,NO  ,352,BUENO
44,Nº 01,PLOMO,Nº 01,MISAL DOMINICAL 12 : EDICION,P. PABLO VÁSQUEZ GIFRE S.J.,NO,IMPRENTA IBERIA S.A.,126,
45,Nº 01,PLOMO,Nº 01,MISAL DOMINICAL DOMINGOS Y FIESTAS,EDELVIVES,3207,LUIS VIVE S.A.,624,
46,Nº 01,PLOMO,Nº 01,"JESÚS, MAESTRO DE APÓSTOLES",DR. VICENTE ENRIQUE TARANCÓN OBISPO DE SOLSONA,201,EDITORIAL VILAMALA,516,
47,Nº 01,PLOMO,Nº 01,LA SIMBOLOGÍA ,OLIVIER BEIGBEDER,2806,"EDICIONES OIKOS - TAU, S.A.",126,
48,Nº 01,PLOMO,Nº 01,LA BIBLIA LATINOAMERICANA,PADRE BERNARDO HURAULT,NO,ARTES GRÁFICAS CARASA,478,
49,Nº 01,PLOMO,Nº 01,LA IGLESIA CATÓLICA INMENSO MILAGRO,EDUARDO OSPINA S.J.,4017,EDITORIAL BEDOUT ,269,
50,Nº 01,PLOMO,Nº 01,EL LAICO EN LA IGLESIA ,P. GLORIEUX ,4005,ESTELA S.A.,216,
51,Nº 01,PLOMO,Nº 01,¿Qué ES LA IGLESIA?,JOSÉ A. DE LABURU S.J,4010,MOSCA HERMANOS S.C.,138,
52,Nº 01,PLOMO,Nº 01,MEDITACIÓN DE LOS EVANGELIOS,J.B. BOSSUET,5003,EDITORIAL IBERIA,344,
53,Nº 01,PLOMO,Nº 01,JESÚS DE NAZARET,CÉSAR BLONDET S. ,6162,SALESIANA,107,
54,Nº 01,PLOMO,Nº 01,DIOS LLEGA AL HOMBRE,"SOCIEDADES BIBLICAS PERUANA, S.A.",2174,IMPRESO EN LOS TALLERES DE IBERIA S.A.,439,
55,Nº 01,PLOMO,Nº 01,NO HAY AMOR MAS GRANDE,POCHUNGA PUDAITE,4068,EDITORIAL MUNDO HISPANO,274,
56,Nº 01,PLOMO,Nº 01,SAGRADA BIBLIA,ILMO. SR.D. FELIX TORRES AMAT.,NO ,"EDITORIAL, APOSTOLADO DE LA PRENSA S.A.",1515,
57,Nº 01,PLOMO,Nº 01,NACAR - COLUNGA - SAGRADA BIBLIA,ELOINO NÁCAR FUSTER ALBERTO VOLUNGA. O.P.,1175,EDITORIAL: CATÓLICA S.A.,1523,
58,Nº 01,PLOMO,Nº 01,CULTO,F.S.C. ,1415,EDITORIAL: BRUÑO,501,
59,Nº 01,PLOMO,Nº 01,CATECISMO MENOR,ARQUIDIÓCESIS DE TRUJILLO,6193,EDITORIAL: GRAFICART,220,
60,Nº 01,PLOMO,Nº 01,CATECISMO MENOR,ARQUIDIÓCESIS DE TRUJILLO,6194,EDITORIAL: GRAFICART,220,
